tgn_uri,pleiades_uri,tgn_label,tgn_parentstring
http://vocab.getty.edu/tgn/1001148,http://pleiades.stoa.org/places/678060,Bayrūt,"Lubnān, Asia, World"
http://vocab.getty.edu/tgn/1001283,http://pleiades.stoa.org/places/903021,Hamadān,"Īrān, Asia, World"
http://vocab.getty.edu/tgn/1001311,http://pleiades.stoa.org/places/874341,Arbīl,"Al-ʻIrāq, Asia, World"
http://vocab.getty.edu/tgn/1001501,http://pleiades.stoa.org/places/275696,Rabat-Salé-Zemmour-Zaër,"Rabat-Salé-Zemmour-Zaër, Al Maghrib, Africa, World"
http://vocab.getty.edu/tgn/1001517,http://pleiades.stoa.org/places/857024,Samsun,"Türkiye, Asia, World"
http://vocab.getty.edu/tgn/1001730,http://pleiades.stoa.org/places/723394918,Oristano,"Sardegna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1002058,http://pleiades.stoa.org/places/697648,Karak,"Al Urdun, Asia, World"
http://vocab.getty.edu/tgn/1002076,http://pleiades.stoa.org/places/678106,Damascus,"Sūrīyah, Asia, World"
http://vocab.getty.edu/tgn/1002085,http://pleiades.stoa.org/places/678028,Irbid,"Al Urdun, Asia, World"
http://vocab.getty.edu/tgn/1003279,http://pleiades.stoa.org/places/108750,Wiesbaden,"<lost & found/Germany>, Deutschland, Europe, World"
http://vocab.getty.edu/tgn/1003464,http://pleiades.stoa.org/places/432652,Isernia,"Molise, Italia, Europe, World"
http://vocab.getty.edu/tgn/1003883,http://pleiades.stoa.org/places/197130,Óbuda,"Buda, Budapest, Budapest, Magyarország, Europe, World"
http://vocab.getty.edu/tgn/1003891,http://pleiades.stoa.org/places/520995,Üsküdar,"İstanbul, Türkiye, Asia, World"
http://vocab.getty.edu/tgn/1005150,http://pleiades.stoa.org/places/197187,Nagytétény,"Buda, Budapest, Budapest, Magyarország, Europe, World"
http://vocab.getty.edu/tgn/1006134,http://pleiades.stoa.org/places/570299,Hydra,"Attikí, Sterea Ellás-Évvoia, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1006235,http://pleiades.stoa.org/places/462199,Alicudi,"Eolie, Isole, Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1006326,http://pleiades.stoa.org/places/471943,Asinara,"Sassari, Sardegna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1006590,http://pleiades.stoa.org/places/197178,Brač,"Splitsko-Dalmatinska Županija, Hrvatska, Europe, World"
http://vocab.getty.edu/tgn/1007085,http://pleiades.stoa.org/places/462084,Favignana,"Trapani, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1007154,http://pleiades.stoa.org/places/501439,Gökçeada,"Çanakkale, Türkiye, Asia, World"
http://vocab.getty.edu/tgn/1007156,http://pleiades.stoa.org/places/462213,Għawdex,"Malta, Europe, World"
http://vocab.getty.edu/tgn/1007519,http://pleiades.stoa.org/places/530905,Ithaca,"Kefallinía, Iónioi Nísoi, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1007519,http://pleiades.stoa.org/places/530906,Ithaca,"Kefallinía, Iónioi Nísoi, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1007580,http://pleiades.stoa.org/places/570403,Thermiá,"Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1007739,http://pleiades.stoa.org/places/197234,Krk,"Primorsko-Goranska Županjia, Hrvatska, Europe, World"
http://vocab.getty.edu/tgn/1007796,http://pleiades.stoa.org/places/1094,Lampedusa,"Pelagie, Isole, Agrigento, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1007823,http://pleiades.stoa.org/places/197342,Lastovo,"Dubrovačko-Neretvanska Županija, Hrvatska, Europe, World"
http://vocab.getty.edu/tgn/1007864,http://pleiades.stoa.org/places/772,Linosa,"Pelagie, Isole, Agrigento, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1007865,http://pleiades.stoa.org/places/462283,Lìpari,"Eolie, Isole, Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1007946,http://pleiades.stoa.org/places/599807,Mýkonos,"Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1007946,http://pleiades.stoa.org/places/599808,Mýkonos,"Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1008204,http://pleiades.stoa.org/places/403247,Montecristo,"Livorno, Toscana, Italia, Europe, World"
http://vocab.getty.edu/tgn/1008350,http://pleiades.stoa.org/places/432980,Nisida,"Napoli, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1008555,http://pleiades.stoa.org/places/531049,Paxoí,"Kérkira, Iónioi Nísoi, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1008597,http://pleiades.stoa.org/places/403255,Pianosa,"Tremiti, Isole, Foggia, Puglia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1008943,http://pleiades.stoa.org/places/501596,Samothráki,"Évros, Thráki, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1008943,http://pleiades.stoa.org/places/501597,Samothráki,"Évros, Thráki, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1009188,http://pleiades.stoa.org/places/541093,Skíros,"Évvoia, Sterea Ellás-Évvoia, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1009188,http://pleiades.stoa.org/places/541108,Skíros,"Évvoia, Sterea Ellás-Évvoia, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1009189,http://pleiades.stoa.org/places/541024,Skópelos,"Magnisía, Thessalía, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1009325,http://pleiades.stoa.org/places/599960,Episkopí,"Dodekánisos, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1009325,http://pleiades.stoa.org/places/599961,Episkopí,"Dodekánisos, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1009397,http://pleiades.stoa.org/places/471944,Tavolara,"Sassari, Sardegna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1009581,http://pleiades.stoa.org/places/1361,Ustica,"Palermo, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1009631,http://pleiades.stoa.org/places/433011,Ventotene,"Latina, Lazio, Italia, Europe, World"
http://vocab.getty.edu/tgn/1009672,http://pleiades.stoa.org/places/462242,Vulcano,"Eolie, Isole, Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1010316,http://pleiades.stoa.org/places/142847211,Strofádhes,"Zákinthos, Iónioi Nísoi, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1010516,http://pleiades.stoa.org/places/462281,Lilibeo,"Trapani, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1011283,http://pleiades.stoa.org/places/570702,Matapan,"Lakonía, Pelopónnisos, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1011873,http://pleiades.stoa.org/places/462416,Pelorus,"Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1025930,http://pleiades.stoa.org/places/128487,Parndorf,"Burgenland, Österreich, Europe, World"
http://vocab.getty.edu/tgn/1026197,http://pleiades.stoa.org/places/197273,Wagna,"Steiermark, Österreich, Europe, World"
http://vocab.getty.edu/tgn/1026293,http://pleiades.stoa.org/places/108762,Asse,"Vlaams-Brabant, Vlaams Gewest, België, Europe, World"
http://vocab.getty.edu/tgn/1026457,http://pleiades.stoa.org/places/109019,Grobbendonk,"Antwerpen, Vlaams Gewest, België, Europe, World"
